Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI %Chg",Vol/OI,IV,Delta,Time
KSS,16.22,2026-06-18,10,Put,15.00,-7.52%,0.2,0.42,58,6234,+507.01%,0.01,75.02%,-0.243969,2026-06-08
TWLO,212.54,2026-06-18,10,Call,235.00,-10.57%,2.7,3.8,42,1221,+504.46%,0.03,74.32%,0.227491,2026-06-08
AG,17.17,2026-06-18,10,Call,18.00,-4.83%,0.48,0.58,411,1363,+487.50%,0.3,75.68%,0.379307,2026-06-08
AMZN,245.22,2026-08-21,74,Call,295.00,-20.30%,3.3,3.55,2673,43212,+487.28%,0.06,37.53%,0.167344,2026-06-08
SMCI,43.99,2026-06-12,4,Call,46.00,-4.57%,0.97,1.04,2369,4997,+486.50%,0.47,97.53%,0.350952,2026-06-08
IRDM,47.47,2026-06-18,10,Put,45.00,-5.20%,1.9,2.35,4176,5445,+480.49%,0.77,105.76%,-0.345742,2026-06-08
TSLA,408.95,2026-06-10,2,Call,410.00,-0.26%,5.65,5.75,26184,1067,+479.89%,24.54,51.05%,0.482569,2026-06-08
MARA,13.78,2026-06-12,4,Call,14.00,-1.60%,0.45,0.46,9362,36398,+479.49%,0.26,95.85%,0.458686,2026-06-08
B,39.46,2026-07-17,39,Call,41.00,-3.90%,1.81,1.91,271,1914,+476.51%,0.14,49.06%,0.434454,2026-06-08
WULF,25.86,2026-12-18,193,Call,40.00,-54.68%,3.1,3.7,7,13308,+476.10%,0,101.89%,0.366856,2026-06-08
QBTS,25.83,2026-06-26,18,Call,25.00,+3.21%,2.62,2.99,127,1129,+476.02%,0.11,104.34%,0.604324,2026-06-08
GRPN,16.18,2026-07-17,39,Put,17.00,+5.07%,2.35,2.7,11,1208,+475.24%,0.01,98.71%,-0.493288,2026-06-08
ZION,63.25,2026-06-18,10,Put,55.00,-13.04%,0,0.2,3,1014,+469.66%,0,50.93%,-0.044299,2026-06-08
QS,7.66,2026-06-12,4,Call,8.00,-4.44%,0.18,0.22,1919,1854,+465.24%,1.04,104.79%,0.367881,2026-06-08
CVX,189.24,2026-06-12,4,Call,202.50,-7.01%,0.1,0.15,744,1187,+462.56%,0.63,37.11%,0.04233,2026-06-08
MU,949.28,2026-06-12,4,Put,570.00,-39.95%,0.2,0.36,577,2026,+459.67%,0.28,193.47%,-0.004384,2026-06-08
PLTR,136.47,2026-07-10,32,Call,140.00,-2.59%,6.25,6.95,294,1040,+453.19%,0.28,49.39%,0.468424,2026-06-08
FIGR,27.86,2026-08-21,74,Put,22.50,-19.24%,1.8,2.05,12,2035,+452.99%,0.01,92.07%,-0.230233,2026-06-08
FRMI,5.7,2026-06-12,4,Call,6.00,-5.26%,0.15,0.25,1528,1150,+452.88%,1.33,134.23%,0.38514,2026-06-08
TSLA,408.95,2026-06-12,4,Call,417.50,-2.09%,6,6.15,2794,5310,+442.94%,0.53,56.21%,0.376175,2026-06-08
RGTI,21.76,2026-06-12,4,Put,20.50,-5.79%,0.5,0.58,388,1368,+442.86%,0.28,119.85%,-0.293633,2026-06-08
MU,949.28,2026-06-12,4,Put,725.00,-23.63%,1.67,1.95,796,1722,+438.12%,0.46,143.77%,-0.030847,2026-06-08
NVDA,208.64,2026-06-17,9,Call,235.00,-12.63%,0.25,0.27,353,1995,+437.74%,0.18,43.57%,0.045355,2026-06-08
INTC,110.27,2026-06-18,10,Call,113.00,-2.48%,5.4,5.5,987,2575,+436.46%,0.38,90.81%,0.467349,2026-06-08
NVDA,208.64,2026-06-10,2,Call,212.50,-1.85%,1.06,1.1,26180,2784,+436.42%,9.4,40.96%,0.279945,2026-06-08
AU,84.47,2026-07-17,39,Call,90.00,-6.55%,3.6,4.6,35,3635,+434.56%,0.01,58.56%,0.396685,2026-06-08
AI,10.6,2026-06-12,4,Call,11.00,-3.77%,0.23,0.26,1589,19181,+433.84%,0.08,91.64%,0.369159,2026-06-08
PLTR,136.47,2026-06-12,4,Call,142.00,-4.05%,1.2,1.23,4202,7044,+433.23%,0.6,55.80%,0.259766,2026-06-08
SERV,7.61,2026-06-18,10,Put,8.50,+11.70%,1.13,1.25,5231,1904,+431.84%,2.75,123.77%,-0.668103,2026-06-08
ASTS,92.06,2026-06-12,4,Put,84.00,-8.76%,1.98,2.15,377,2343,+430.09%,0.16,139.69%,-0.241291,2026-06-08
GOOG,361.17,2026-09-18,102,Call,390.00,-7.98%,16.3,17.25,96,5292,+428.14%,0.02,35.00%,0.393092,2026-06-08
PINS,21.99,2026-06-12,4,Call,21.50,+2.23%,0.83,0.9,251,1813,+425.51%,0.14,64.13%,0.646259,2026-06-08
NKE,43.23,2026-06-12,4,Put,42.50,-1.69%,0.36,0.39,868,2088,+424.62%,0.42,37.90%,-0.32664,2026-06-08
RBLX,42.3,2026-06-18,10,Call,53.00,-25.30%,0.05,0.18,23,1043,+421.50%,0.02,79.90%,0.051391,2026-06-08
MU,949.28,2027-01-15,221,Call,"2,170.00",-128.59%,68.4,72.2,1251,1656,+420.75%,0.76,94.91%,0.235758,2026-06-08
OXY,57.48,2026-06-12,4,Put,56.00,-2.57%,0.45,0.55,1307,2173,+417.38%,0.6,45.86%,-0.283925,2026-06-08
CIFR,24.29,2026-06-12,4,Put,22.00,-9.43%,0.35,0.45,1316,10968,+416.87%,0.12,126.42%,-0.206911,2026-06-08
NKE,43.23,2026-06-12,4,Put,43.00,-0.53%,0.55,0.59,1446,3473,+416.05%,0.42,37.70%,-0.438388,2026-06-08
AMD,490.33,2026-06-12,4,Call,485.00,+1.09%,20.2,20.75,2633,1157,+414.22%,2.28,86.35%,0.567703,2026-06-08
QBTS,25.83,2026-06-12,4,Put,24.00,-7.08%,0.56,0.61,1489,1277,+412.85%,1.17,125.41%,-0.264973,2026-06-08
DELL,400.77,2026-07-17,39,Put,320.00,-20.15%,8.25,9.3,64,2718,+412.83%,0.02,76.63%,-0.150106,2026-06-08
SHOP,110.78,2026-06-12,4,Put,110.00,-0.70%,2.47,2.74,244,3584,+412.00%,0.07,65.03%,-0.44327,2026-06-08
RDW,18.57,2026-07-17,39,Call,18.00,+3.07%,3.4,3.7,334,4089,+410.49%,0.08,136.41%,0.618591,2026-06-08
RKT,12.35,2026-06-18,10,Call,12.50,-1.21%,0.44,0.49,91,1325,+409.62%,0.07,64.78%,0.480172,2026-06-08
QBTS,25.83,2026-06-12,4,Call,27.00,-4.53%,0.83,0.87,7851,2868,+408.51%,2.74,122.62%,0.390549,2026-06-08
SNOW,240.45,2026-06-12,4,Call,252.50,-5.01%,2.43,2.67,73,1138,+408.04%,0.06,67.57%,0.257726,2026-06-08
IONQ,62.8,2026-06-18,10,Call,72.00,-14.65%,1.56,1.71,173,1107,+407.80%,0.16,110.63%,0.257936,2026-06-08
SERV,7.61,2026-06-12,4,Put,8.50,+11.70%,0.99,1.12,4976,7466,+407.20%,0.67,145.53%,-0.741652,2026-06-08
NFLX,82.64,2026-07-02,24,Put,77.00,-6.82%,0.68,0.72,44,3219,+406.93%,0.01,32.53%,-0.180173,2026-06-08
OKLO,58.94,2026-06-18,10,Put,59.00,+0.10%,3.65,4.15,65,1079,+404.21%,0.06,100.21%,-0.467491,2026-06-08
LRCX,324.45,2026-06-12,4,Call,327.50,-0.94%,8.95,10.65,63,1554,+402.91%,0.04,82.35%,0.475567,2026-06-08
PENG,64.63,2026-09-18,102,Call,40.00,+38.11%,28,30.1,58,2463,+401.63%,0.02,121.06%,0.861231,2026-06-08
USAR,22.21,2026-06-12,4,Call,25.00,-12.56%,0.21,0.28,962,1131,+400.44%,0.85,114.94%,0.178773,2026-06-08
MU,949.28,2026-07-10,32,Put,55.00,-94.21%,0,0.5,22,47504,+399.83%,0,360.15%,-0.000672,2026-06-08
RKT,12.35,2026-07-17,39,Put,10.00,-19.03%,0.16,0.2,54,1165,+395.74%,0.05,63.62%,-0.127942,2026-06-08
GIII,34.92,2026-06-18,10,Put,35.00,+0.23%,0.5,1.8,480,1585,+395.31%,0.3,48.57%,-0.492519,2026-06-08
FSLR,275.39,2026-07-17,39,Put,280.00,+1.67%,28.45,29.75,180,1306,+390.98%,0.14,75.53%,-0.472829,2026-06-08
RKLB,113.65,2026-06-18,10,Call,126.00,-10.87%,4.1,4.45,172,1137,+390.09%,0.15,115.51%,0.330385,2026-06-08
SNDK,1642,2026-06-12,4,Put,"1,350.00",-17.78%,7.8,9.1,1092,2856,+383.25%,0.38,137.26%,-0.075337,2026-06-08
EQX,10.84,2026-06-18,10,Put,10.00,-7.75%,0.15,0.2,345,3433,+382.84%,0.1,70.69%,-0.225301,2026-06-08
PLTR,136.47,2026-06-12,4,Call,143.00,-4.78%,0.99,1.01,3667,5098,+382.31%,0.72,55.99%,0.223183,2026-06-08
MU,949.28,2026-08-21,74,Put,450.00,-52.60%,8.05,8.75,9,6403,+382.15%,0,108.82%,-0.037343,2026-06-08
C,133.28,2026-06-12,4,Put,130.00,-2.46%,1.02,1.11,317,1669,+380.98%,0.19,42.90%,-0.280473,2026-06-08
POET,12.28,2026-06-12,4,Put,10.50,-14.50%,0.15,0.25,299,1778,+380.54%,0.17,167.11%,-0.162365,2026-06-08
GLXY,30.51,2026-07-17,39,Call,25.00,+18.06%,6.8,7.3,23,2811,+380.51%,0.01,99.46%,0.784509,2026-06-08
MU,949.28,2026-06-12,4,Put,480.00,-49.44%,0.06,0.1,279,1028,+380.37%,0.27,223.29%,-0.001203,2026-06-08
RIOT,25.69,2026-06-18,10,Call,25.50,+0.74%,1.48,1.67,62,1047,+380.28%,0.06,86.79%,0.551888,2026-06-08
KO,79.54,2026-06-12,4,Put,80.00,+0.58%,0.95,1.03,296,1506,+379.62%,0.2,22.28%,-0.591632,2026-06-08
AGNC,10.11,2026-12-18,193,Put,9.00,-10.98%,0.38,0.42,5,2839,+378.75%,0,30.26%,-0.262058,2026-06-08
SHOP,110.78,2026-06-12,4,Call,120.00,-8.32%,0.5,0.56,844,3572,+377.54%,0.24,67.46%,0.137607,2026-06-08
ATOM,8.36,2027-01-15,221,Call,10.00,-19.62%,3,3.4,41,1021,+377.10%,0.04,144.96%,0.664751,2026-06-08
NIO,5.45,2026-06-12,4,Call,5.00,+8.26%,0.45,0.52,975,1280,+375.84%,0.76,79.13%,0.861411,2026-06-08
TSM,426.8,2026-07-17,39,Call,550.00,-28.87%,3.15,3.95,13,2049,+375.41%,0.01,56.32%,0.102287,2026-06-08
TJX,159.75,2026-06-18,10,Call,155.00,+2.97%,5.5,6.8,11,5985,+374.62%,0,30.31%,0.738726,2026-06-08
POET,12.28,2026-07-02,24,Call,13.00,-5.86%,1.25,1.5,82,1371,+374.39%,0.06,132.09%,0.503252,2026-06-08
HOOD,85.04,2026-06-12,4,Call,84.00,+1.22%,3.35,3.5,2837,4294,+372.91%,0.66,80.96%,0.576237,2026-06-08
MSTR,127.2,2026-06-12,4,Call,129.00,-1.42%,3.9,4.25,993,1143,+372.31%,0.87,91.65%,0.462405,2026-06-08
Z,34.79,2026-07-17,39,Call,47.50,-36.53%,0.3,0.65,13,1503,+371.16%,0.01,74.09%,0.125414,2026-06-08
MU,949.28,2026-06-12,4,Put,505.00,-46.80%,0.07,0.43,40,1328,+370.92%,0.03,232.48%,-0.003304,2026-06-08
MO,71.29,2026-06-12,4,Call,72.00,-1.00%,0.45,0.54,219,1604,+370.38%,0.14,26.95%,0.365119,2026-06-08
B,39.46,2026-06-12,4,Call,40.50,-2.64%,0.43,0.52,251,1221,+367.82%,0.21,54.04%,0.332544,2026-06-08
RIOT,25.69,2026-06-12,4,Put,22.00,-14.36%,0.11,0.13,350,1090,+365.81%,0.32,112.00%,-0.08313,2026-06-08
NBIS,218,2026-06-12,4,Put,190.00,-12.84%,3.05,3.3,929,2840,+364.05%,0.33,147.19%,-0.165621,2026-06-08
BRK.B,487,2026-06-12,4,Call,500.00,-2.67%,0.42,0.52,3372,2538,+363.99%,1.33,19.31%,0.101384,2026-06-08
LI,14.53,2026-09-18,102,Call,15.00,-3.23%,1.35,1.51,3,1672,+360.61%,0,51.27%,0.522323,2026-06-08
QBTS,25.83,2026-06-12,4,Call,24.00,+7.08%,2.28,2.46,868,1243,+360.37%,0.7,119.23%,0.743571,2026-06-08
MU,949.28,2026-06-12,4,Put,825.00,-13.09%,7.5,8.2,1394,1032,+356.64%,1.35,122.64%,-0.123016,2026-06-08
BMNR,16.85,2026-08-21,74,Put,12.00,-28.78%,0.56,0.64,619,1251,+354.91%,0.49,88.85%,-0.143585,2026-06-08
SMR,10.76,2026-06-12,4,Call,11.00,-2.23%,0.41,0.46,2930,1023,+354.67%,2.86,120.00%,0.456336,2026-06-08
COIN,162.11,2026-06-12,4,Call,165.00,-1.78%,4.15,4.3,4174,2719,+353.92%,1.54,80.90%,0.435791,2026-06-08
CIFR,24.29,2026-08-21,74,Call,30.00,-23.51%,2.91,3.1,33,2591,+353.77%,0.01,110.71%,0.436731,2026-06-08
AMD,490.33,2026-06-12,4,Put,455.00,-7.21%,5.2,5.5,621,2486,+352.82%,0.25,89.88%,-0.198852,2026-06-08
UAMY,7.81,2026-06-18,10,Call,9.00,-15.24%,0.2,0.25,450,2522,+352.78%,0.18,118.00%,0.266481,2026-06-08
NOK,14.59,2026-06-12,4,Put,14.00,-4.04%,0.29,0.31,2263,7906,+352.29%,0.29,91.58%,-0.315127,2026-06-08
CRCL,82.53,2026-12-18,193,Put,75.00,-9.12%,15.1,15.9,5,1953,+352.08%,0,87.99%,-0.311426,2026-06-08
MS,212.24,2026-06-18,10,Put,185.00,-12.83%,0.12,0.28,58,6111,+351.66%,0.01,45.60%,-0.031189,2026-06-08
T,22.5,2026-06-18,10,Put,22.50,0.00%,0.4,0.45,2274,1502,+351.05%,1.51,28.39%,-0.492752,2026-06-08
MRVL,288.85,2026-06-12,4,Put,152.50,-47.20%,0,0.19,13,3064,+347.95%,0,240.90%,-0.003909,2026-06-08
PLTR,136.47,2026-06-12,4,Call,139.00,-1.85%,2.08,2.12,2752,1771,+347.22%,1.55,55.40%,0.389388,2026-06-08
CVNA,69.45,2026-06-12,4,Call,70.00,-0.79%,1.98,2.2,441,1971,+346.94%,0.22,80.47%,0.481328,2026-06-08
SHOP,110.78,2026-08-21,74,Call,125.00,-12.84%,7.8,8.4,32,1094,+346.53%,0.03,65.41%,0.406218,2026-06-08
TSLA,408.95,2026-06-12,4,Put,370.00,-9.52%,0.83,0.86,4358,6393,+345.19%,0.68,65.49%,-0.066846,2026-06-08
MSTR,127.2,2026-06-12,4,Call,130.00,-2.20%,3.6,3.8,12748,3459,+344.60%,3.69,92.29%,0.431331,2026-06-08
BRK.B,487,2026-06-12,4,Put,440.00,-9.65%,0,0.16,42,1088,+340.49%,0.04,42.65%,-0.010625,2026-06-08
FLY,36.18,2028-01-21,592,Put,35.00,-3.26%,13,18,10,1263,+340.07%,0.01,102.56%,-0.242199,2026-06-08
IREN,59.19,2026-06-12,4,Put,53.00,-10.46%,0.84,0.94,755,6600,+340.00%,0.11,129.89%,-0.188594,2026-06-08
BRK.B,487,2026-06-12,4,Call,492.50,-1.13%,1.5,2.1,459,2304,+338.86%,0.2,19.03%,0.296665,2026-06-08
TSM,426.8,2026-08-21,74,Call,460.00,-7.78%,26.1,28,69,2655,+338.12%,0.03,51.13%,0.426467,2026-06-08
CLSK,16.52,2026-06-12,4,Call,16.50,+0.12%,0.77,0.87,2571,3824,+334.05%,0.67,117.09%,0.52966,2026-06-08
MU,949.28,2026-07-02,24,Call,900.00,+5.19%,126.8,129.95,152,1043,+330.99%,0.15,106.85%,0.633102,2026-06-08
NVDA,208.64,2026-06-12,4,Call,215.00,-3.05%,1.46,1.48,31142,52431,+330.11%,0.59,43.13%,0.263118,2026-06-08
LUNR,29.74,2026-06-18,10,Put,19.00,-36.11%,0,0.21,2,2406,+328.11%,0,156.98%,-0.031642,2026-06-08
USAR,22.21,2026-06-12,4,Put,20.00,-9.95%,0.19,0.3,336,1048,+327.76%,0.32,111.28%,-0.168243,2026-06-08
TSLA,408.95,2026-07-02,24,Put,300.00,-26.64%,0.75,0.81,108,3208,+327.73%,0.03,66.38%,-0.027541,2026-06-08
AAPL,301.54,2026-06-10,2,Call,317.50,-5.29%,0.18,0.19,14985,2055,+327.23%,7.29,41.47%,0.04857,2026-06-08
TLRY,5.03,2026-06-12,4,Put,5.00,-0.60%,0.08,0.15,227,3109,+327.06%,0.07,62.22%,-0.448509,2026-06-08
RGTI,21.76,2026-06-26,18,Call,22.00,-1.10%,1.98,2.11,429,2326,+326.01%,0.18,110.84%,0.534548,2026-06-08
UEC,12.61,2026-06-12,4,Put,12.50,-0.87%,0.51,0.54,829,1425,+325.37%,0.58,110.78%,-0.445765,2026-06-08
CMG,29.27,2026-06-18,10,Call,30.00,-2.49%,0.48,0.55,116,1441,+325.07%,0.08,41.83%,0.379458,2026-06-08
CRWV,102.37,2026-06-18,10,Call,101.00,+1.34%,7,7.4,242,1037,+325.00%,0.23,96.04%,0.567694,2026-06-08
FMC,11.1,2026-06-18,10,Call,12.50,-12.61%,0.1,0.15,654,1236,+324.74%,0.53,73.49%,0.180227,2026-06-08
OXY,57.48,2026-06-12,4,Call,60.00,-4.38%,0.21,0.28,1649,7678,+322.33%,0.21,43.16%,0.178037,2026-06-08
SAIL,17.69,2026-06-18,10,Put,15.00,-15.21%,0.45,0.6,1919,1382,+320.06%,1.39,140.26%,-0.203139,2026-06-08
COMP,7.58,2026-07-17,39,Call,9.00,-18.73%,0.2,0.3,3,2973,+319.92%,0,69.54%,0.266189,2026-06-08
TGT,123.97,2026-06-12,4,Call,124.00,-0.02%,1.85,2,580,1336,+318.81%,0.43,37.48%,0.505222,2026-06-08
NVDA,208.64,2026-06-12,4,Call,207.50,+0.55%,4.4,4.5,8775,2599,+318.52%,3.38,43.83%,0.560005,2026-06-08
IREN,59.19,2026-06-12,4,Put,56.00,-5.39%,1.63,1.69,1798,6006,+317.95%,0.3,124.68%,-0.311207,2026-06-08
BE,253.57,2026-07-17,39,Call,380.00,-49.86%,6,6.9,103,1331,+317.24%,0.08,105.65%,0.161754,2026-06-08
CAG,13.15,2026-06-12,4,Call,13.50,-2.66%,0.1,0.15,542,1266,+315.08%,0.43,47.97%,0.304633,2026-06-08
META,585.39,2026-06-12,4,Put,580.00,-0.92%,7.1,7.4,6353,3746,+312.10%,1.7,40.23%,-0.402097,2026-06-08
LVS,50.79,2026-07-17,39,Put,47.50,-6.48%,0.76,1.13,2,1829,+311.94%,0,34.93%,-0.25571,2026-06-08
BMNR,16.85,2026-06-12,4,Put,16.00,-5.04%,0.25,0.29,1178,7549,+310.05%,0.16,88.08%,-0.27057,2026-06-08
RCL,272,2026-07-17,39,Call,300.00,-10.29%,7.6,8,30,2499,+309.67%,0.01,49.45%,0.302472,2026-06-08
META,585.39,2026-06-12,4,Put,540.00,-7.75%,0.72,0.8,1806,1187,+309.31%,1.52,49.83%,-0.057099,2026-06-08
CRM,182.55,2026-06-12,4,Call,190.00,-4.08%,1.36,1.38,15205,1951,+309.01%,7.79,51.88%,0.240682,2026-06-08
AVGO,396.6,2026-07-10,32,Put,400.00,+0.86%,22.35,24.3,33,1177,+308.68%,0.03,47.02%,-0.490797,2026-06-08
TSLA,408.95,2026-06-12,4,Put,355.00,-13.19%,0.4,0.42,1602,2237,+307.47%,0.72,74.68%,-0.031906,2026-06-08
AAL,13.6,2026-09-18,102,Put,13.00,-4.41%,1.13,1.19,11,2495,+307.01%,0,52.24%,-0.376868,2026-06-08
ENPH,56.88,2026-07-17,39,Put,55.00,-3.31%,5.7,6.3,58,2785,+306.57%,0.02,96.35%,-0.391986,2026-06-08
NVTS,24.48,2026-06-12,4,Call,28.00,-14.38%,0.53,0.61,1341,1359,+305.67%,0.99,165.48%,0.246127,2026-06-08
RDW,18.57,2026-06-12,4,Call,21.50,-15.78%,0.2,0.55,440,1480,+305.48%,0.3,163.89%,0.221857,2026-06-08
MDT,80.69,2026-07-17,39,Call,90.00,-11.54%,0.25,0.32,38,2084,+305.45%,0.02,24.79%,0.095855,2026-06-08
ACHR,5.73,2026-06-12,4,Call,6.00,-4.71%,0.11,0.12,4261,2249,+303.77%,1.89,91.45%,0.333953,2026-06-08
AMD,490.33,2026-06-12,4,Put,472.50,-3.64%,9.8,10.15,371,1287,+299.69%,0.29,87.22%,-0.324494,2026-06-08
AMZN,245.22,2026-07-10,32,Call,255.00,-3.99%,5.35,5.8,331,1310,+299.39%,0.25,31.81%,0.36937,2026-06-08
POET,12.28,2026-06-12,4,Call,14.50,-18.08%,0.19,0.23,834,2369,+298.82%,0.35,165.94%,0.192819,2026-06-08
F,15,2026-08-21,74,Call,17.00,-13.33%,0.54,0.55,627,6965,+295.74%,0.09,45.91%,0.305135,2026-06-08
BRK.B,487,2026-06-12,4,Call,495.00,-1.64%,0.97,1.3,208,1269,+292.88%,0.16,18.73%,0.211541,2026-06-08
FCEL,15.5,2026-06-12,4,Call,18.00,-16.13%,0.35,0.5,928,1583,+292.80%,0.59,188.16%,0.255038,2026-06-08
CRML,10.11,2026-06-12,4,Call,10.00,+1.09%,0.5,0.65,183,1151,+291.50%,0.16,123.00%,0.560582,2026-06-08
ABSI,6.55,2026-07-17,39,Call,4.00,+38.93%,2.3,2.9,5,1952,+290.40%,0,93.69%,0.962172,2026-06-08
AA,73.44,2028-01-21,592,Call,75.00,-2.12%,22.8,24.5,2,1037,+289.85%,0,63.40%,0.66572,2026-06-08
XYZ,69.92,2026-06-12,4,Put,67.00,-4.18%,0.54,0.59,139,1305,+289.55%,0.11,57.10%,-0.226761,2026-06-08
SHOP,110.78,2026-08-21,74,Call,150.00,-35.40%,3,3.45,15,1272,+288.99%,0.01,66.25%,0.199952,2026-06-08
UEC,12.61,2026-08-21,74,Put,10.00,-20.70%,0.72,0.81,1490,2580,+286.23%,0.58,89.68%,-0.214124,2026-06-08
MU,949.28,2026-06-12,4,Put,750.00,-20.99%,2.4,2.55,4441,10122,+285.60%,0.44,136.50%,-0.042442,2026-06-08
NVDA,208.64,2026-06-12,4,Call,222.50,-6.64%,0.37,0.38,18320,39552,+285.23%,0.46,44.03%,0.086336,2026-06-08
MU,949.28,2026-06-12,4,Put,700.00,-26.26%,1.18,1.32,3931,6390,+282.41%,0.62,149.71%,-0.021468,2026-06-08
B,39.46,2026-07-17,39,Call,39.00,+1.17%,2.7,2.8,33,1559,+280.24%,0.02,49.54%,0.558143,2026-06-08
BULL,5.67,2026-06-18,10,Call,5.50,+3.00%,0.34,0.37,1647,1925,+279.68%,0.86,69.99%,0.629041,2026-06-08
NVDA,208.64,2026-06-10,2,Put,207.50,-0.55%,1.96,2,27639,2663,+278.81%,10.38,41.10%,-0.420429,2026-06-08
RIOT,25.69,2026-06-12,4,Call,27.00,-5.10%,0.5,0.55,1429,1563,+278.45%,0.91,95.44%,0.328535,2026-06-08
GME,22.26,2026-06-12,4,Call,22.50,-1.08%,0.32,0.33,5192,4560,+276.86%,1.14,46.81%,0.420482,2026-06-08
CELH,28,2026-06-26,18,Call,35.00,-25.00%,0.11,0.18,32,1837,+276.43%,0.02,67.54%,0.080625,2026-06-08
HBM,26.11,2027-01-15,221,Call,35.00,-34.05%,2.6,3.5,14,1321,+276.35%,0.01,68.44%,0.40405,2026-06-08
AMZN,245.22,2026-06-12,4,Call,252.50,-2.97%,1.16,1.25,2324,2871,+276.28%,0.81,36.11%,0.228249,2026-06-08
PL,32.74,2026-06-18,10,Call,35.00,-6.90%,1.7,1.9,694,1944,+276.02%,0.36,124.26%,0.414129,2026-06-08
CRDO,222.27,2026-06-18,10,Call,215.00,+3.27%,19.2,21,518,1071,+275.79%,0.48,111.62%,0.60941,2026-06-08
USAR,22.21,2026-06-12,4,Put,22.50,+1.31%,1.13,1.33,245,1033,+275.64%,0.24,116.11%,-0.517304,2026-06-08
DDOG,231.68,2026-06-12,4,Call,280.00,-20.86%,0.11,0.32,165,1306,+267.89%,0.13,91.01%,0.026414,2026-06-08
BMNR,16.85,2026-06-12,4,Call,17.00,-0.89%,0.52,0.55,8259,7403,+267.21%,1.12,85.52%,0.480009,2026-06-08
AVGO,396.6,2026-06-12,4,Put,350.00,-11.75%,0.42,0.53,1761,3386,+266.05%,0.52,69.65%,-0.039645,2026-06-08
HOOD,85.04,2026-06-12,4,Put,75.00,-11.81%,0.29,0.31,4635,6027,+265.49%,0.77,88.81%,-0.080487,2026-06-08
POET,12.28,2026-06-12,4,Call,13.00,-5.86%,0.49,0.58,3966,1077,+265.08%,3.68,160.29%,0.400001,2026-06-08
TMC,5.11,2026-06-12,4,Put,5.00,-2.15%,0.16,0.2,190,1926,+264.77%,0.1,109.80%,-0.401399,2026-06-08
QCOM,217.77,2026-06-12,4,Put,215.00,-1.27%,6.45,7.5,2196,1416,+264.01%,1.55,91.97%,-0.427324,2026-06-08
AAPL,301.54,2026-06-10,2,Put,302.50,+0.32%,3.5,3.8,11579,1123,+263.43%,10.31,35.58%,-0.5407,2026-06-08
AMD,490.33,2026-06-12,4,Call,505.00,-2.99%,11.4,11.75,3647,1553,+262.85%,2.35,86.11%,0.390665,2026-06-08
JOBY,9.7,2026-06-12,4,Put,9.50,-2.06%,0.25,0.29,298,1487,+262.68%,0.2,90.51%,-0.393261,2026-06-08
CLSK,16.52,2026-06-12,4,Call,15.50,+6.17%,1.35,1.5,248,1232,+262.35%,0.2,121.40%,0.715063,2026-06-08
HIMS,27.17,2026-06-12,4,Call,28.00,-3.05%,0.69,0.74,3318,2564,+262.15%,1.29,93.40%,0.399412,2026-06-08
HIMS,27.17,2026-06-12,4,Call,26.00,+4.31%,1.64,1.76,758,2209,+262.13%,0.34,90.23%,0.697594,2026-06-08
CVNA,69.45,2026-11-20,165,Call,80.00,-15.19%,10.4,11,1,1087,+261.13%,0,75.72%,0.503736,2026-06-08
AVGO,396.6,2026-06-15,7,Put,400.00,+0.86%,11.25,12.9,353,1147,+260.69%,0.31,47.27%,-0.536201,2026-06-08
LWLG,10.3,2026-06-18,10,Call,11.00,-6.80%,0.75,0.95,199,2067,+259.48%,0.1,165.93%,0.460763,2026-06-08
KEEL,5.66,2026-06-12,4,Call,5.50,+2.83%,0.38,0.41,1932,1508,+259.05%,1.28,131.93%,0.610106,2026-06-08
TSLA,408.95,2026-07-02,24,Call,440.00,-7.59%,9.55,9.7,397,2509,+258.43%,0.16,49.30%,0.309628,2026-06-08
POET,12.28,2026-06-12,4,Put,12.50,+1.79%,0.93,0.97,910,2576,+257.78%,0.35,162.14%,-0.507146,2026-06-08
ONDS,10.3,2026-06-26,18,Call,11.00,-6.80%,0.62,0.65,454,5561,+256.70%,0.08,99.55%,0.429023,2026-06-08
MU,949.28,2026-08-21,74,Put,850.00,-10.46%,106,108.65,241,1577,+255.98%,0.15,96.52%,-0.313792,2026-06-08
INTC,110.27,2026-10-16,130,Put,87.50,-20.65%,9.15,9.7,158,1436,+254.57%,0.11,82.13%,-0.230482,2026-06-08
OXY,57.48,2026-06-12,4,Call,59.00,-2.64%,0.4,0.46,1046,8729,+254.41%,0.12,41.54%,0.282949,2026-06-08
PLUG,3.19,2026-07-02,24,Put,3.50,+9.72%,0.47,0.6,29,1038,+254.27%,0.03,106.79%,-0.577743,2026-06-08
ALAB,346.33,2026-06-12,4,Call,350.00,-1.06%,15.8,17.75,155,1383,+253.71%,0.11,127.27%,0.496196,2026-06-08
APLD,40.94,2026-07-17,39,Put,32.00,-21.84%,1.43,1.58,215,1471,+253.61%,0.15,100.22%,-0.176968,2026-06-08
PURR,8.92,2026-12-18,193,Put,7.00,-21.52%,1.7,1.95,21,1799,+253.44%,0.01,123.57%,-0.231074,2026-06-08
RKT,12.35,2026-06-18,10,Put,12.50,+1.21%,0.56,0.61,194,1353,+253.26%,0.14,62.51%,-0.522973,2026-06-08
